Time,Sequence Number,Event
33.82400000000003,28001,ack
33.82400000000003,28001,send
33.82400000000003,28001,transmit
34.032000000000025,28001,ack
34.82400000000003,28001,send
34.82400000000003,28001,transmit
35.032000000000025,29001,ack
35.032000000000025,29001,send
35.032000000000025,29001,transmit
35.24000000000002,29001,ack
36.032000000000025,29001,send
36.032000000000025,29001,transmit
36.24000000000002,30001,ack
36.24000000000002,30001,send
36.24000000000002,30001,transmit
36.44800000000002,30001,ack
37.24000000000002,30001,send
37.24000000000002,30001,transmit
37.44800000000002,31001,ack
37.44800000000002,31001,send
37.44800000000002,31001,transmit
37.65600000000002,31001,ack
38.44800000000002,31001,send
38.44800000000002,31001,transmit
38.65600000000002,32001,ack
38.65600000000002,32001,send
38.65600000000002,32001,transmit
38.86400000000002,32001,ack
39.65600000000002,32001,send
39.65600000000002,32001,transmit
39.86400000000002,33001,ack
39.86400000000002,33001,send
39.86400000000002,33001,transmit
40.07200000000002,33001,ack
40.86400000000002,33001,send
40.86400000000002,33001,transmit
41.07200000000002,34001,ack
41.07200000000002,34001,send
41.07200000000002,34001,transmit
41.280000000000015,34001,ack
42.07200000000002,34001,send
42.07200000000002,34001,transmit
42.280000000000015,35001,ack
42.280000000000015,35001,send
42.280000000000015,35001,transmit
42.488000000000014,35001,ack
43.280000000000015,35001,send
43.280000000000015,35001,transmit
43.488000000000014,36001,ack
43.488000000000014,36001,send
43.488000000000014,36001,transmit
43.69600000000001,36001,ack
44.488000000000014,36001,send
44.488000000000014,36001,transmit
44.69600000000001,37001,ack
44.69600000000001,37001,send
44.69600000000001,37001,transmit
44.90400000000001,37001,ack
45.69600000000001,37001,send
45.69600000000001,37001,transmit
45.90400000000001,38001,ack
45.90400000000001,38001,send
45.90400000000001,38001,transmit
